Number Plate,Fleet Number
KAR,834Z
KAT,575Q
KAV,625X
KAW,624G
KAX,693P
KAY,098A
KAY,618P
KAY,764F
KAZ,644L
KBA,022N
KBA,047M
KBA,184N
KBA,383A
KBC,036Y
KBC,377G
KBE,347V
KBH,980C
KBK,221U
KBK,364J
KBL,038D
KBL,980K
KBM,498V
KBP,059B
KBP,189K
KBP,267A
KBP,326Y
KBP,861B
KBP,935Q
KBQ,844U
KBQ,872U
KBQ,875R
KBR,061B
KBR,143P
KBR,826S
KBS,980D
KBT,411F
KBT,848R
KBT,973R
KBT,980J
KBU,282P
KBU,838W
KBU,980W
KBV,686E
KBW,437P
KBW,488G
KBW,510N
KBW,548P
KBW,905K
KBX,192T
KBX,449E
KBX,535W
KBX,956R
KBY,872L
KBZ,980G
KCA,590D
KCB,399Q
KCC,074F
KCC,768D
KCE,322M
KCF,586U
