Number Plate,Fleet Number,Year
KAR,834Z,2006
KAT,575Q,2007
KAV,625X,2007
KAW,624G,2008
KAX,693P,2008
KAY,098A,2008
KAY,618P,2008
KAY,764F,2008
KAZ,644L,2008
KBA,022N,2008
KBA,047M,2009
KBA,184N,2009
KBA,383A,2009
KBC,036Y,2009
KBC,377G,2009
KBE,347V,2010
KBH,980C,2010
KBK,221U,2011
KBK,364J,2011
KBL,038D,2011
KBL,980K,2011
KBM,498V,2011
KBP,059B,2012
KBP,189K,2012
KBP,267A,2012
KBP,326Y,2012
KBP,861B,2012
KBP,935Q,2012
KBQ,844U,2012
KBQ,872U,2012
KBQ,875R,2012
KBR,061B,2012
KBR,143P,2012
KBR,826S,2012
KBS,980D,2013
KBT,411F,2013
KBT,848R,2013
KBT,973R,2013
KBT,980J,2013
KBU,282P,2013
KBU,838W,2013
KBU,980W,2013
KBV,686E,2013
KBW,437P,2013
KBW,488G,2014
KBW,510N,2014
KBW,548P,2014
KBW,905K,2014
KBX,192T,2014
KBX,449E,2014
KBX,535W,2014
KBX,956R,2014
KBY,872L,2014
KBZ,980G,2014
KCA,590D,2015
KCB,399Q,2015
KCC,074F,2015
KCC,768D,2015
KCE,322M,2016
KCF,586U,2016
